name,unique_cycle_sum,unique_energy_sum,arith_meshX,arith_ins,mem0_ins,mem0_ent,mem1_ins,mem1_ent,mem2_ins,mem2_ent,mem3_ins,mem3_ent,mem4_ins,mem4_ent
arch_16_10_112_15104_3022_246784,258202,340039784.28,16,1280,1280,1,128,112,128,15104,64,3022,1,246784
arch_16_10_114_46336_2822_147456,100352,172174188.04,16,1280,1280,1,128,114,128,46336,64,2822,1,147456
arch_16_10_124_3584_2748_220160,258202,337968164.98,16,1280,1280,1,128,124,128,3584,64,2748,1,220160
arch_16_10_12_22272_210_115712,100352,180311806.99,16,1280,1280,1,128,12,128,22272,64,210,1,115712
arch_16_10_138_7424_1756_53248,100352,187458248.52,16,1280,1280,1,128,138,128,7424,64,1756,1,53248
arch_16_10_140_6400_1018_224256,100352,165987785.97,16,1280,1280,1,128,140,128,6400,64,1018,1,224256
arch_16_10_144_61440_94_246784,100352,415618749.43,16,1280,1280,1,128,144,128,61440,64,94,1,246784
arch_16_10_14_51968_3178_61440,100352,185784919.64,16,1280,1280,1,128,14,128,51968,64,3178,1,61440
arch_16_10_14_51968_570_168960,100352,194037463.16,16,1280,1280,1,128,14,128,51968,64,570,1,168960
arch_16_10_150_49920_3296_43008,100352,195424000.64,16,1280,1280,1,128,150,128,49920,64,3296,1,43008
arch_16_10_162_63488_2804_203776,258202,344963208.8,16,1280,1280,1,128,162,128,63488,64,2804,1,203776
arch_16_10_170_56064_920_218112,100352,186769770.69,16,1280,1280,1,128,170,128,56064,64,920,1,218112
arch_16_10_178_2816_2732_26624,1682689,1776081531.18,16,1280,1280,1,128,178,128,2816,64,2732,1,26624
arch_16_10_206_7680_1012_247808,258202,339721652.54,16,1280,1280,1,128,206,128,7680,64,1012,1,247808
arch_16_10_20_56064_1210_219136,100352,186355863.16,16,1280,1280,1,128,20,128,56064,64,1210,1,219136
arch_16_10_210_24064_2190_76800,100352,173314947.78,16,1280,1280,1,128,210,128,24064,64,2190,1,76800
arch_16_10_214_65280_1468_20480,100352,189210115.22,16,1280,1280,1,128,214,128,65280,64,1468,1,20480
arch_16_10_226_61696_2136_133120,100352,172776003.32,16,1280,1280,1,128,226,128,61696,64,2136,1,133120
arch_16_10_240_51456_238_102400,100352,193819679.76,16,1280,1280,1,128,240,128,51456,64,238,1,102400
arch_16_10_24_63488_3864_99328,100352,197375803.1,16,1280,1280,1,128,24,128,63488,64,3864,1,99328
arch_16_10_256_60928_1948_123904,100352,172492468.34,16,1280,1280,1,128,256,128,60928,64,1948,1,123904
arch_16_10_46_56320_2484_86016,100352,188064546.81,16,1280,1280,1,128,46,128,56320,64,2484,1,86016
arch_16_10_56_10752_2580_150528,100352,168939876.28,16,1280,1280,1,128,56,128,10752,64,2580,1,150528
arch_16_12_102_36864_1084_229376,81255,166867088.72,16,1536,1536,1,128,102,128,36864,64,1084,1,229376
arch_16_12_122_2304_2262_8192,86272,160828764.86,16,1536,1536,1,128,122,128,2304,64,2262,1,8192
arch_16_12_124_19968_3802_133120,86272,169827943.72,16,1536,1536,1,128,124,128,19968,64,3802,1,133120
arch_16_12_150_46592_990_149504,263220,363936623.76,16,1536,1536,1,128,150,128,46592,64,990,1,149504
arch_16_12_156_27136_2274_119808,86272,156791831.86,16,1536,1536,1,128,156,128,27136,64,2274,1,119808
arch_16_12_164_11008_3898_246784,81255,147305153.45,16,1536,1536,1,128,164,128,11008,64,3898,1,246784
arch_16_12_164_44032_548_154624,86272,189810214.67,16,1536,1536,1,128,164,128,44032,64,548,1,154624
arch_16_12_168_24064_2450_62464,80512,160147659.78,16,1536,1536,1,128,168,128,24064,64,2450,1,62464
arch_16_12_176_47616_3794_20480,90164,180902648.12,16,1536,1536,1,128,176,128,47616,64,3794,1,20480
arch_16_12_192_18944_2952_204800,258202,326830304.68,16,1536,1536,1,128,192,128,18944,64,2952,1,204800
